#Units1,batch_size,activation,lr,max_epochs,optimizer,weight_decay,momentum,nesterov,mean_train_score,mean_val_score,std_train_score,mean_fit_time,std_fit_time,rank_val_score
150,128,<built-in method sigmoid of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.8,True,2.6219608783721924,2.9121028582255044,0.08471701582297338,34.43771489461263,0.2684160206926045,28
150,64,<built-in method tanh of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.2,True,2.414831558863322,2.913289467493693,0.08966932084433059,51.65865763028463,0.32262724351798205,29
150,64,<built-in method sigmoid of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.6,True,2.6524829864501953,2.9140711625417075,0.08467519497389854,51.581905364990234,0.2603885653213527,30
100,64,<built-in method tanh of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,1e-05,0.4,True,2.2821946144104004,2.914456526438395,0.10720984097666851,50.941551526387535,0.4382877260340818,31
150,64,<built-in method sigmoid of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,1e-05,0.6,True,2.6274308363596597,2.9167888164520264,0.08250942021319466,51.41512926419576,0.4172745630419308,32
100,128,<built-in method tanh of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.6,True,2.3643556435902915,2.916874806086222,0.0900785970283605,34.090639193852745,0.2588801497897791,33
100,64,<built-in method tanh of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.4,True,2.350931723912557,2.9179582595825195,0.08626578007343579,51.22331794102987,0.21318060574806283,34
50,64,<built-in method tanh of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.4,True,2.362424612045288,2.9248107274373374,0.07982381240923149,50.69269212086996,0.18277613556783287,35
50,64,<built-in method tanh of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.8,True,2.181718667348226,2.926579316457113,0.09784935036959522,50.66735855738322,0.0641783125866573,36
50,64,<built-in method tanh of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.6,True,2.324205160140991,2.927470842997233,0.08476829275264543,50.47513858477274,0.045138094477003725,37
50,64,<built-in method tanh of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,1e-05,0.4,True,2.342684268951416,2.9278875986735025,0.09396445990398418,50.28015693028768,0.19167997987094368,38
50,128,<built-in method tanh of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.6,True,2.461098035176595,2.9307264486948648,0.06240721271629567,33.86943610509237,0.07344274069259539,39
50,128,<built-in method tanh of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,1e-05,0.6,True,2.430675824483236,2.931305249532064,0.05485432955213475,33.644319454828896,0.2569356924565625,40
50,64,<built-in method tanh of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,1e-05,0.6,True,2.2426427205403647,2.932222763697306,0.08518381999191205,50.59564622243246,0.46310499731128124,41
100,128,<built-in method tanh of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.6,True,2.4670737584431968,2.9324002265930176,0.0645955714650788,34.00034483273824,0.2324215325482902,42
150,64,<built-in method tanh of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.4,True,2.360761562983195,2.934138536453247,0.09373329199112569,51.59057545661926,0.3642409023494637,43
100,128,<built-in method tanh of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,1e-05,0.4,True,2.5009871323903403,2.936193068822225,0.06801382977898981,34.13895718256632,0.3121467117505715,44
100,128,<built-in method tanh of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.4,True,2.54716690381368,2.9363811016082764,0.08225385124397759,34.26971435546875,0.07990150865725708,45
150,128,<built-in method tanh of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.6,True,2.4341511726379395,2.937239487965902,0.05834338034641943,34.54789535204569,0.27456790300357614,46
100,64,<built-in method sigmoid of type object at 0x7fd97539d780>,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.6,True,2.6797627607981362,2.9381373723347983,0.0970974372142597,51.10021845499674,0.18479990929339368,47
