#Units1,#Units2,activation,batch_size,lr,max_epochs,optimizer,weight_decay,momentum,mean_train_score,mean_val_score,std_train_score,mean_fit_time,std_fit_time,rank_val_score
30,10,<built-in method sigmoid of type object at 0x7f9e915a4780>,128,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.8,2.425184726715088,2.8802524407704673,0.06831936184510293,56.80369973182678,0.10831762284305406,24
30,10,<built-in method sigmoid of type object at 0x7f9e915a4780>,64,0.01,1000,<class 'torch.optim.sgd.SGD'>,1e-05,0.4,2.559316396713257,2.8842836221059165,0.07955010306668447,86.96088639895122,1.0327988408761752,25
30,10,<built-in method sigmoid of type object at 0x7f9e915a4780>,64,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.8,2.1858060359954834,2.887038310368856,0.04333116355779663,87.3088489373525,1.355344857460122,26
30,10,<built-in method sigmoid of type object at 0x7f9e915a4780>,64,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.4,2.5918676058451333,2.889324982961019,0.09433893084572403,86.74021116892497,1.0039224939522582,27
50,10,<built-in method sigmoid of type object at 0x7f9e915a4780>,64,0.01,1000,<class 'torch.optim.sgd.SGD'>,1e-05,0.4,2.59515380859375,2.8894463380177817,0.10997873583989835,86.43585364023845,0.522146891686181,28
50,10,<built-in method sigmoid of type object at 0x7f9e915a4780>,128,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.8,2.420455058415731,2.8904038270314536,0.08992968455004492,57.15794809659322,0.8351533969438222,29
30,20,<built-in method sigmoid of type object at 0x7f9e915a4780>,64,0.01,1000,<class 'torch.optim.sgd.SGD'>,1e-05,0.8,2.200044552485148,2.902088483174642,0.07967118258573624,86.50398604075114,0.7764198706872695,30
50,20,<built-in method sigmoid of type object at 0x7f9e915a4780>,64,0.01,1000,<class 'torch.optim.sgd.SGD'>,1e-05,0.2,2.6643624305725098,2.9076942602793374,0.07617743026269978,86.69699263572693,0.6669532949781507,31
50,10,<built-in method sigmoid of type object at 0x7f9e915a4780>,64,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.4,2.6131820678710938,2.9127323627471924,0.07527907838100505,86.671976963679,0.9505661627487944,32
30,20,<built-in method sigmoid of type object at 0x7f9e915a4780>,128,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.6,2.6287314097086587,2.915350596110026,0.08419995303292824,57.351029793421425,0.9858010211691076,33
