#Units,batch_size,lr,max_epochs,optimizer,weight_decay,momentum,mean_train_score,mean_val_score,std_train_score,rank_val_score
100,256,0.001,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.2,6.329221089680989,6.4639255205790205,0.09690218333416574,207
100,256,0.1,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.0,6.496488571166992,6.6089768409729,0.318182034745097,208
50,256,0.001,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.2,6.503796259562175,6.644371509552002,0.07843416958632454,209
100,256,0.1,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.0,6.668001492818196,6.656461715698242,1.08506342961434,210
100,256,0.1,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.6,5.927353938420613,6.6625542640686035,2.5049882338389566,211
50,256,0.1,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.0,6.600635528564453,6.788878758748372,0.606532289939969,212
50,256,0.001,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.2,6.721693992614746,6.81045134862264,0.07031000316500113,213
100,256,0.001,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.0,6.788900216420491,6.879292964935303,0.22005012706216714,214
50,256,0.001,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.2,6.845871130625407,6.9818596839904785,0.29530568631836285,215
100,128,0.1,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.0,6.698802789052327,6.988377730051677,1.183373715614689,216
100,256,0.001,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.0,6.8998122215271,6.996794064839681,0.09524148407624121,217
50,256,0.001,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.0,6.990609327952067,7.018138408660889,0.08965633412756939,218
100,256,0.001,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.0,6.974498907725017,7.042981783548991,0.19788562454049408,219
50,256,0.1,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.0,6.872966130574544,7.0489983558654785,0.9158080971640793,220
100,128,0.0001,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.8,6.978259881337483,7.099309921264648,0.27495548892763594,221
100,128,0.0001,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.8,6.984490076700847,7.127854506174724,0.19610379207271084,222
50,256,0.001,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.0,7.036873976389567,7.1838351885477705,0.08476134740410363,223
100,128,0.0001,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.8,7.250998020172119,7.334699471791585,0.12050872093837625,224
50,256,0.001,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.0,7.324873606363933,7.40806516011556,0.26285360979060163,225
100,64,0.0001,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.6,7.328082243601481,7.418994585673015,0.10892651970825949,226
100,64,0.0001,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.6,7.347350597381592,7.470423062642415,0.10704296108202098,227
100,64,0.0001,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.6,7.439948717753093,7.572949091593425,0.1297700698940698,228
50,64,0.0001,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.6,7.761553605397542,7.826712449391683,0.16869667748031317,229
50,64,0.0001,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.6,7.6990102132161455,7.828366279602051,0.23922439364063625,230
50,128,0.0001,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.8,7.817975044250488,7.89422067006429,0.32259086706899115,231
50,128,0.0001,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.8,7.803237756093343,7.943173249562581,0.2952157056062192,232
50,128,0.0001,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.8,7.9172078768412275,7.999817689259847,0.04069330305511677,233
50,64,0.0001,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.6,7.990516026814778,8.130949338277182,0.23307504245494595,234
100,256,0.0001,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.8,9.738638877868652,9.820765495300293,0.5189328291674998,235
100,256,0.0001,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.8,10.080700238545736,10.128292083740234,0.36616055718908935,236
100,256,0.0001,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.8,10.452534675598145,10.549284299214682,0.6594167579430948,237
100,128,0.0001,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.6,11.891513506571451,11.918402671813965,0.7452147602728079,238
100,128,0.0001,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.6,11.907469431559244,12.017722765604654,0.5444466403606744,239
50,256,0.0001,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.8,11.958562850952148,12.13427988688151,0.209614233162377,240
100,128,0.0001,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.6,12.372477213541666,12.515483220418295,0.9519561343122919,241
50,256,0.0001,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.8,12.424331665039062,12.535841941833496,0.32453202222165617,242
100,64,0.0001,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.2,12.782221794128418,12.772905667622885,0.6831807395793256,243
50,256,0.0001,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.8,12.879096031188965,12.915633201599121,0.2558763543133453,244
100,64,0.0001,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.2,13.079612414042154,13.082213083902994,0.28570238018674887,245
100,64,0.0001,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.2,13.303387959798178,13.307315508524576,0.4191027745001957,246
50,128,0.0001,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.6,14.966570854187012,14.953643798828125,0.6277057275580403,247
50,128,0.0001,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.6,15.736380259195963,15.845931688944498,1.7783865776363894,248
50,128,0.0001,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.6,15.897935231526693,16.091882069905598,1.8481017517482894,249
50,64,0.0001,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.2,16.746907552083332,16.911326726277668,1.7547031748959419,250
50,64,0.0001,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.2,17.623849868774414,17.68778928120931,0.6809151648649038,251
50,64,0.0001,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.2,18.584479331970215,18.52250607808431,3.2398822577024586,252
100,64,0.0001,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.0,18.732685089111328,19.014453887939453,2.372049314384232,253
100,64,0.0001,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.0,18.67425028483073,19.08744017283122,3.9183802583402394,254
100,64,0.0001,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.0,18.90822760264079,19.32337220509847,4.920134020094403,255
50,64,0.0001,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.0,34.18662770589193,34.17907969156901,3.3909067236255024,256
100,256,0.0001,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.6,34.222216288248696,34.30731391906738,4.1593896906976005,257
50,64,0.0001,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.0,36.82198397318522,36.914651234944664,4.127182302736013,258
100,256,0.0001,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.6,37.20429484049479,37.28764343261719,1.992957749449209,259
100,256,0.0001,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.6,37.900274912516274,37.85211944580078,0.7022686211296179,260
50,64,0.0001,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.0,38.46201705932617,38.43584442138672,3.062194110854273,261
100,128,0.0001,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.2,40.84747060139974,40.95133845011393,0.20269146280150052,262
100,128,0.0001,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.2,41.906820933024086,42.141845703125,0.26321268144547805,263
100,128,0.0001,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.2,42.41344960530599,42.42722193400065,1.164240257307284,264
50,256,0.0001,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.6,44.40391413370768,44.55048624674479,2.8428568001548626,265
50,256,0.0001,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.6,45.53099822998047,45.55189514160156,2.005178562842768,266
50,256,0.0001,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.6,46.251953125,46.467482248942055,1.4666973290610206,267
100,128,0.0001,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.0,46.947739919026695,46.98030471801758,1.1353216502456134,268
100,128,0.0001,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.0,47.177050272623696,47.315409342447914,0.6564004769391986,269
50,128,0.0001,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.2,47.9130490620931,48.004956563313804,0.27151441817615984,270
50,128,0.0001,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.2,48.03772862752279,48.033671061197914,1.1835716262176157,271
100,128,0.0001,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.0,48.03767013549805,48.09769948323568,1.552501921106228,272
50,128,0.0001,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.2,48.002830505371094,48.17419179280599,0.9850237261502162,273
50,128,0.0001,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.0,51.057074228922524,50.93599319458008,1.0960759574181471,274
50,128,0.0001,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.0,51.1105842590332,51.16415532430013,0.026229669216288193,275
100,256,0.0001,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.2,51.39340464274088,51.39095687866211,0.7272505897032616,276
50,128,0.0001,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.0,51.55041249593099,51.594215393066406,0.4781768025262269,277
100,256,0.0001,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.2,51.911669413248696,51.92549260457357,0.9245709034208852,278
100,256,0.0001,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.2,52.03268814086914,52.0101064046224,0.6902238798901443,279
100,256,0.0001,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.0,52.66068013509115,52.728963216145836,0.3716355422685258,280
100,256,0.0001,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.0,52.76550801595052,52.77851359049479,0.550732473770984,281
50,256,0.0001,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.2,52.83971150716146,52.82884724934896,0.548151152661407,282
50,256,0.0001,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.2,53.14427820841471,53.15078353881836,0.24631791622061194,283
100,256,0.0001,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.0,53.22482172648112,53.22463862101237,0.474756451796997,284
50,256,0.0001,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.2,54.40954717000326,54.40425237019857,0.4496390206519829,285
50,256,0.0001,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.0,54.675393422444664,54.71756490071615,0.23233279081405814,286
50,256,0.0001,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.0,54.73006820678711,54.7198117574056,0.633418236797642,287
50,256,0.0001,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.0,54.70359547932943,54.73706181844076,0.6124414347890149,288
