#Units,batch_size,lr,max_epochs,optimizer,weight_decay,momentum,mean_train_score,mean_val_score,std_train_score,rank_val_score
50,128,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.0,3.0313006242116294,3.3598644733428955,0.04378623296449067,47
100,128,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.0,3.030583143234253,3.368341604868571,0.07023721531298995,48
100,256,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.6,2.9410013357798257,3.373851219813029,0.10473589375842243,49
50,64,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.8,2.661111831665039,3.3870147864023843,0.11462326255682895,50
50,128,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.0,3.091005245844523,3.3882702191670737,0.12466758848186861,51
100,128,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.0,3.020998160044352,3.3910651206970215,0.15420916163023382,52
50,128,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.0,3.0881625016530356,3.3925869464874268,0.06667989832250974,53
100,128,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.0,3.0290810267130532,3.3943487803141275,0.11576895940950663,54
100,256,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.6,2.9407586256663003,3.394925355911255,0.13856178655912643,55
50,128,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.8,2.822890520095825,3.4105143547058105,0.003018456618002977,56
50,64,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.8,2.773738145828247,3.419112046559652,0.21002307884703936,57
50,128,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.8,2.93643856048584,3.4194259643554688,0.1372400895894124,58
100,256,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.6,2.973334630330404,3.4256579081217446,0.2062932490053339,59
100,128,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.8,2.7113338311513266,3.4286065896352134,0.2882344524029217,60
100,128,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.8,2.6681431929270425,3.435007095336914,0.3287657744669751,61
50,256,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.6,3.0349239508310952,3.4402314027150473,0.13696851171903845,62
50,256,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.6,3.0704969565073648,3.4466731548309326,0.15890175269467544,63
100,256,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.2,3.167628208796183,3.4657015800476074,0.13917229172138348,64
100,256,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.2,3.1749170621236167,3.467254082361857,0.10788188808607937,65
100,256,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.2,3.1424638430277505,3.4677327473958335,0.14987480554429736,66
50,256,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.2,3.293832540512085,3.538243850072225,0.10305243771503997,67
50,256,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.2,3.2921698888142905,3.5602928002675376,0.11027080406864379,68
100,64,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.8,2.5254371960957847,3.5649167696634927,0.09302837726713309,69
100,64,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.8,2.6531956990559897,3.5878258546193442,0.06905548992684397,70
100,128,0.001,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.8,3.343980312347412,3.6014110247294107,0.15491848677779937,71
50,256,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.0,3.3556926250457764,3.6080506642659507,0.09622256479233413,72
50,256,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.2,3.3399484952290854,3.610084851582845,0.15852880223600596,73
100,256,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.0,3.304190715154012,3.612196127573649,0.07782475653095161,74
50,128,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.8,3.0407944520314536,3.623642603556315,0.6764740469533882,75
100,256,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.0,3.3587963581085205,3.652878522872925,0.043639604008103794,76
50,256,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.0,3.41784930229187,3.6538474559783936,0.08808846657990016,77
50,128,0.001,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.8,3.454517126083374,3.65936279296875,0.038099518660563776,78
100,128,0.001,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.8,3.3915653228759766,3.6749335130055747,0.07239753382216417,79
100,128,0.001,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.8,3.4099772771199546,3.6765710512797036,0.07365201928594788,80
50,128,0.001,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.8,3.452817360560099,3.687636057535807,0.18596081679820117,81
100,64,0.001,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.6,3.4350154399871826,3.6936914126078286,0.15322391421519593,82
100,256,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.0,3.394482374191284,3.694396734237671,0.18163131664425045,83
50,128,0.001,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.8,3.4687417348225913,3.6960012912750244,0.15857651217386062,84
50,64,0.001,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.6,3.4811860720316568,3.7191290060679116,0.057516906760957526,85
50,256,0.1,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.8,3.157799482345581,3.7266786098480225,0.05732440952849409,86
100,64,0.001,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.6,3.4802985191345215,3.7460193634033203,0.1254472927891072,87
50,64,0.1,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.6,3.1151156425476074,3.783000628153483,0.1690775036829755,88
100,64,0.001,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.6,3.5180513858795166,3.7890841960906982,0.01852188187031233,89
50,64,0.001,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.6,3.5462849934895835,3.792041778564453,0.11408302473423583,90
50,64,0.001,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.6,3.5881105264027915,3.8209036191304526,0.0028368015017569094,91
50,128,0.1,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.8,3.1423290570576987,3.86610738436381,0.22852144792911117,92
50,64,0.1,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.6,3.07757830619812,3.8688178062438965,0.28391568060269057,93
50,256,0.01,1000,<class 'torch.optim.sgd.SGD'>,0.001,0.0,3.6599056720733643,3.9219836393992105,0.042217615518469906,94
50,256,0.1,1000,<class 'torch.optim.sgd.SGD'>,0.0001,0.8,3.450702349344889,3.994623819986979,0.08413052593759099,95
50,64,0.1,1000,<class 'torch.optim.sgd.SGD'>,0.0,0.8,2.8664387861887612,4.032494306564331,0.46679714181297655,96
