,kernel,epsilon,C,gamma,mean_val_score,std_val_score,mean_train_score,std_train_score,rank_val_score,mean_fit_time
236,rbf,0.5,10,0.1,3.0557249835291196,0.05264052320000251,2.4817850915645314,0.022716620562733644,1,0.19713163375854492
244,rbf,1,10,0.1,3.0631111490160023,0.045728549853100826,2.574398065856149,0.022940873685707065,2,0.1638034184773763
228,rbf,0.1,10,0.1,3.0694302474487016,0.046396189901537224,2.4264323870628988,0.023650292491885105,3,0.22000384330749512
220,rbf,0.05,10,0.1,3.0731949924541713,0.04336682530452714,2.4218339120533656,0.022460667517538613,4,0.22859454154968262
212,rbf,0.01,10,0.1,3.076502143777771,0.04175171324151041,2.419483222227058,0.02215408341187388,5,0.227862278620402
204,rbf,0.005,10,0.1,3.0768357715044536,0.04164785981348679,2.4193379962024726,0.022166871720789686,6,0.23144173622131348
196,rbf,0.001,10,0.1,3.0770864836251772,0.0415525746671164,2.419245100897606,0.02216133871095612,7,0.24599711100260416
188,rbf,0.0005,10,0.1,3.0771135656471045,0.04155111180937403,2.4192368012729815,0.02215779721851241,8,0.23741761843363443
180,rbf,0.0001,10,0.1,3.0771460982241643,0.041523074555386105,2.4192317099926544,0.022165052217725627,9,0.2382511297861735
324,rbf,0.5,100,0.1,3.246961381243309,0.05922200758028728,1.8640971616664068,0.015507388671261817,10,0.8152408599853516
332,rbf,1,100,0.1,3.252619128373793,0.0797794855346353,2.0902558088657472,0.017646185923279954,11,0.534827470779419
316,rbf,0.1,100,0.1,3.2772847812895214,0.053306023999696556,1.683987501661514,0.016863389026996724,12,0.9795772234598795
308,rbf,0.05,100,0.1,3.2817888046595693,0.05270802198212606,1.6635831475146554,0.016750925659229778,13,1.0199660460154216
300,rbf,0.01,100,0.1,3.286402198893447,0.053139191325697596,1.6481470628186516,0.016857835350243128,14,1.1616003513336182
419,rbf,1,1000,0.01,3.287058472260981,0.08144608944873766,2.8968168615452554,0.02145966102157442,15,0.672024647394816
292,rbf,0.005,100,0.1,3.2871625905554267,0.05325870886454051,1.6463039085839188,0.016879986488717243,16,1.1861926714579265
284,rbf,0.001,100,0.1,3.28783876807697,0.05333971582549455,1.6448576850877439,0.01690703692567591,17,1.2911923726399739
276,rbf,0.0005,100,0.1,3.287921907095862,0.053356223178949086,1.6446875535788463,0.016910861388467164,18,1.3197801907857258
268,rbf,0.0001,100,0.1,3.2880018554238313,0.053361723637016474,1.6445866130435018,0.01691747084587222,19,1.3788379828135173
411,rbf,0.5,1000,0.01,3.295316055831615,0.05873306955567624,2.851346651229403,0.02162205795862017,20,0.8220717906951904
403,rbf,0.1,1000,0.01,3.3070065165102775,0.0557925172749399,2.822948267179985,0.018779271704872355,21,0.8511111736297607
395,rbf,0.05,1000,0.01,3.311595411727646,0.058207535227862456,2.821573610640438,0.01800524290001817,22,0.8880569934844971
387,rbf,0.01,1000,0.01,3.315693286243558,0.0578636336456123,2.8213600006835793,0.017841764141046212,23,0.9569351673126221
379,rbf,0.005,1000,0.01,3.316280863196757,0.05757993658060778,2.821414782114798,0.017845110626031193,24,0.980862538019816
371,rbf,0.001,1000,0.01,3.316644820790453,0.05732061593314467,2.8214563271664166,0.017875014364757223,25,0.9865556557973226
363,rbf,0.0005,1000,0.01,3.316699623283491,0.057298481168078265,2.821468787139126,0.017874807695736787,26,1.071884552637736
355,rbf,0.0001,1000,0.01,3.3167242315903125,0.057285489584653626,2.821476555860667,0.017874967312018604,27,1.0405097007751465
140,rbf,0.1,1,0.1,3.3526386475863075,0.06592862283531209,3.1473897448589785,0.023787054313401314,28,0.14919622739156088
132,rbf,0.05,1,0.1,3.355030682779853,0.06835890569357311,3.147156446486981,0.022571062791430445,29,0.15489768981933594
148,rbf,0.5,1,0.1,3.3561116915608857,0.07096182447284334,3.171322039560305,0.020128044493950552,30,0.12698729832967123
124,rbf,0.01,1,0.1,3.356909349573661,0.06937743072515651,3.147521170763588,0.020878158174401307,31,0.15418696403503418
116,rbf,0.005,1,0.1,3.357171261815481,0.06953112860687927,3.147757457252404,0.020696217891462764,32,0.1559626261393229
108,rbf,0.001,1,0.1,3.357423720307264,0.06964360832610324,3.148001624724117,0.020592699507878523,33,0.1534726619720459
