rank_val_score,mean_val_score,std_val_score,mean_train_score,std_train_score,activation,batch_size,epochs,init_mode,learn_rate,momentum,nesterov,param_neurons_layer_1,weight_decay,mean_fit_time
1,3.282038609186808,0.15699443715175265,2.7476418813069663,0.09297592754181423,relu,64,300,glorot_uniform,0.01,0.9,True,40,0.0001,1.499412218729655
2,3.3188580671946206,0.047249134253226535,2.605109930038452,0.0764357897467797,relu,64,300,glorot_uniform,0.01,0.9,True,80,0.0001,1.5335621039072673
3,3.3258751233418784,0.07717176897046416,2.921176036198934,0.06994715913730284,relu,256,300,glorot_uniform,0.01,0.9,True,120,0.0001,0.9332884947458903
4,3.3295392195383706,0.05683411260771764,3.0863941510518393,0.01241851566544001,relu,64,300,glorot_uniform,0.01,0.4,True,40,0.0001,1.4561049143473308
5,3.340565840403239,0.014499295981185363,2.7612364292144775,0.157036368071047,relu,128,300,glorot_uniform,0.01,0.9,True,120,0.0001,1.0816670258839924
6,3.3529396851857505,0.027637928050412142,3.064607779184977,0.0936612923193787,relu,64,300,glorot_uniform,0.01,0.4,True,80,0.0001,1.5292726357777913
7,3.3544575373331704,0.11350623461432573,2.5992966492970786,0.0936744195099591,relu,64,300,glorot_uniform,0.01,0.9,True,120,0.0001,1.5368138154347737
8,3.3633200327555337,0.0685879896878561,2.842884063720703,0.17133324126966817,relu,128,300,glorot_uniform,0.01,0.9,True,40,0.0001,0.9783249696095785
9,3.3748303254445395,0.05793505254490472,2.95513916015625,0.10194680436728298,relu,128,300,glorot_uniform,0.01,0.9,True,40,0.001,1.019491195678711
10,3.3944525718688965,0.03009991759571902,3.055338462193807,0.06934379378570246,relu,64,300,glorot_uniform,0.01,0.4,True,120,0.0001,1.545542558034261
11,3.3948508898417153,0.14305042909022378,2.7427148818969727,0.10774729941930473,relu,64,300,glorot_uniform,0.01,0.9,True,120,0.001,1.5483470757802327
12,3.4007322788238525,0.12027117107106032,2.777720053990682,0.07964871953703932,relu,64,300,glorot_uniform,0.01,0.9,True,80,0.001,1.4954795042673747
13,3.40231982866923,0.033383536287496025,3.0704639752705893,0.0881489500255676,relu,256,300,glorot_uniform,0.01,0.9,True,80,0.001,0.9188886483510336
14,3.4050243695576987,0.08745856190572864,2.8998872439066568,0.10538709115246908,relu,64,300,glorot_uniform,0.01,0.9,True,40,0.001,1.4597772757212322
15,3.416598637898763,0.06051622868547832,3.16005531946818,0.0457473941863799,relu,64,300,glorot_uniform,0.01,0.2,True,80,0.0001,1.534738540649414
16,3.4515322844187417,0.06791709717547888,3.206556797027588,0.08346681153709974,relu,64,300,glorot_uniform,0.01,0.2,True,120,0.0001,1.5679954687754314
17,3.454751491546631,0.04977615348523254,3.193103551864624,0.06202018891548188,relu,64,300,glorot_uniform,0.01,0.2,True,40,0.0001,1.4981773694356282
18,3.4561591148376465,0.013132264999119207,3.1846375465393066,0.013312033318483777,relu,64,300,glorot_uniform,0.01,0.2,True,80,0.001,1.5565659999847412
19,3.456449508666992,0.02272060980265592,3.177109718322754,0.03038267601455756,relu,64,300,glorot_uniform,0.01,0.2,True,120,0.001,1.5658636887868245
20,3.4605371952056885,0.06050820029828627,3.2058881918589273,0.1286894695252284,relu,64,300,glorot_uniform,0.01,0.4,True,120,0.001,1.5323231220245361
21,3.47306219736735,0.15214682671923838,2.952993313471476,0.1787918667025851,relu,128,300,glorot_uniform,0.01,0.9,True,80,0.001,1.0410558382670085
22,3.4774320125579834,0.022645709056931113,3.2664361000061035,0.03408198378696213,relu,64,300,glorot_uniform,0.001,0.9,True,40,0.0001,1.4682563940684001
23,3.4778640270233154,0.059693332611446256,3.161198695500692,0.0984704271092227,relu,64,300,glorot_uniform,0.01,0.4,True,80,0.001,1.5434775352478027
24,3.4787890911102295,0.2296870882965022,3.157705386479696,0.17390723113773085,relu,256,300,glorot_uniform,0.01,0.9,True,40,0.001,0.7603484789530436
25,3.488691965738932,0.058444171139958055,3.1844654083251953,0.009440114512236409,relu,128,300,glorot_uniform,0.01,0.9,True,80,0.01,1.0476707617441814
26,3.4951412677764893,0.046368798177495486,3.263432423273722,0.012984905302279349,relu,64,300,glorot_uniform,0.01,0.0,True,80,0.0001,1.469465732574463
27,3.49592916170756,0.025343486953910997,3.1211249828338623,0.11042211989609324,relu,256,300,glorot_uniform,0.01,0.9,True,40,0.0001,0.8039387861887614
28,3.500121831893921,0.13549038975961286,3.0330475171407065,0.1417191425077241,relu,128,300,glorot_uniform,0.01,0.9,True,80,0.0001,0.9979156653086344
