rank_val_score,mean_val_score,std_val_score,mean_train_score,std_train_score,activation,batch_size,epochs,init_mode,learn_rate,momentum,nesterov,neurons_layer_1,neurons_layer_2,weight_decay,mean_fit_time
1,2.826543092727661,0.04953580533638334,2.3419792652130127,0.025944083815249847,sigmoid,128,1000,glorot_uniform,0.01,0.9,True,130,30,0.0001,10.950765291849772
2,2.8462684949239097,0.04273099794953935,2.3709285259246826,0.022200279125724087,sigmoid,64,1000,glorot_uniform,0.01,0.8,True,130,30,0.0001,20.068315505981445
3,2.8719183603922525,0.03991245104635817,2.5475663344065347,0.03916970815737495,sigmoid,128,1000,glorot_uniform,0.01,0.8,True,70,30,0.0001,10.969215949376425
4,2.8731250762939453,0.04719352608947327,2.5571561654408774,0.040613294235589556,sigmoid,128,1000,glorot_uniform,0.01,0.8,True,130,30,0.0001,10.895520448684692
5,2.879205862681071,0.010757013085148365,2.2628952662150064,0.036721734577706076,tanh,128,1000,glorot_uniform,0.001,0.9,True,70,30,0.0001,11.193447907765707
6,2.881648222605387,0.06090321359795423,2.3131019274393716,0.044539790437334185,sigmoid,64,1000,glorot_uniform,0.01,0.8,True,70,30,0.0001,15.425177017847696
7,2.8881134192148843,0.01097951368420365,2.318528175354004,0.012761749199557247,tanh,64,1000,glorot_uniform,0.001,0.8,True,130,30,0.0001,16.163886388142902
8,2.890312115351359,0.02409369263839902,2.167140086491903,0.040645408073467976,tanh,1219,1000,glorot_uniform,0.01,0.9,True,70,30,0.0001,4.18970783551534
9,2.8963325023651123,0.042433238292212815,2.235102415084839,0.021105435047345765,tanh,1219,1000,glorot_uniform,0.01,0.9,True,130,30,0.0001,4.712906201680501
10,2.897727648417155,0.024961847004644884,2.3175617853800454,0.024992732608307696,tanh,64,1000,glorot_uniform,0.001,0.8,True,70,30,0.0001,15.305282513300577
11,2.9102932612101235,0.07955632678088292,2.1045734882354736,0.05876286539126498,sigmoid,64,1000,glorot_uniform,0.01,0.9,True,130,30,0.0001,17.266973813374836
12,2.913089911142985,0.03127511838046986,2.4233091672261557,0.034815099761039886,tanh,1219,1000,glorot_uniform,0.01,0.8,True,70,30,0.0001,4.182063023249309
13,2.922822952270508,0.030118893085895,2.311363776524862,0.027852924748171193,tanh,128,1000,glorot_uniform,0.001,0.9,True,130,30,0.0001,11.382128397623697
14,2.925381660461426,0.04084445578612341,2.011953075726827,0.02847717388065675,tanh,64,1000,glorot_uniform,0.001,0.9,True,130,30,0.0001,19.18356744448344
15,2.92792018254598,0.04855929534637662,2.6582879225413003,0.04230801864419817,sigmoid,64,1000,glorot_uniform,0.01,0.4,True,70,30,0.0001,16.93023673693339
16,2.928898811340332,0.059550153891064814,2.5596657594045005,0.02193468608675521,tanh,128,1000,glorot_uniform,0.001,0.8,True,70,30,0.0001,10.586938063303629
17,2.9358484745025635,0.008276493243751978,2.475886503855387,0.041613469578812005,tanh,1219,1000,glorot_uniform,0.01,0.8,True,130,30,0.0001,5.018922249476115
18,2.945950905481974,0.04532352513634596,2.6897366841634116,0.0400159811876736,sigmoid,64,1000,glorot_uniform,0.01,0.4,True,130,30,0.0001,15.887489080429077
19,2.948052724202474,0.04572196686391481,2.3038531144460044,0.03894224460767691,sigmoid,128,1000,glorot_uniform,0.01,0.9,True,70,30,0.0001,10.999316851298014
20,2.9630293051401773,0.04715903649543519,2.563927968343099,0.01579275070408004,tanh,1219,1000,glorot_uniform,0.01,0.8,True,130,30,0.001,5.0855090618133545
21,2.967620293299357,0.038334186747906736,2.588331460952759,0.016595285996967264,tanh,128,1000,glorot_uniform,0.001,0.8,True,130,30,0.0001,11.520274639129639
22,2.9768191973368325,0.0310339475959581,2.529542605082194,0.028294833288233852,tanh,1219,1000,glorot_uniform,0.01,0.8,True,70,30,0.001,4.2402247587839765
23,2.9781055450439453,0.01873613235712681,2.376232306162516,0.007921335871055903,tanh,1219,1000,glorot_uniform,0.01,0.9,True,130,30,0.001,4.924187024434407
24,2.978280464808146,0.001654105940256699,2.4271133740743003,0.014879549801670895,tanh,64,1000,glorot_uniform,0.001,0.8,True,70,30,0.001,16.273234844207764
25,2.9800874392191568,0.007699316447167724,2.455141623814901,0.004854331534489694,tanh,64,1000,glorot_uniform,0.001,0.8,True,130,30,0.001,16.727550268173218
26,2.99298628171285,0.04984976819670974,2.133655230204264,0.023214475676423537,tanh,128,1000,glorot_uniform,0.01,0.4,True,130,30,0.0001,10.933856328328451
27,2.9933173656463623,0.018993414390232825,2.162827730178833,0.052351355853667826,tanh,128,1000,glorot_uniform,0.01,0.4,True,70,30,0.0001,10.011183818181356
28,3.007495959599813,0.03312257672839462,2.3823463122049966,0.006871314653537992,tanh,128,1000,glorot_uniform,0.001,0.9,True,70,30,0.001,11.187314112981161
29,3.007631222407023,0.06205893211863694,2.6585164070129395,0.012827336171331935,tanh,128,1000,glorot_uniform,0.001,0.8,True,70,30,0.001,11.41865054766337
30,3.015925168991089,0.08855304914361019,2.855569918950399,0.03377859999927755,sigmoid,64,1000,glorot_uniform,0.001,0.9,True,130,30,0.0001,16.35773293177287
31,3.020700772603353,0.013837066132641036,2.357347329457601,0.019180828691992252,tanh,1219,1000,glorot_uniform,0.01,0.9,True,70,30,0.001,4.1749904950459795
32,3.0222330888112388,0.024863227915001503,2.201927344004313,0.016432252727646705,tanh,64,1000,glorot_uniform,0.001,0.9,True,130,30,0.001,18.44996778170268
33,3.026803970336914,0.10369086725422236,2.8230158487955728,0.03954826933064951,sigmoid,64,1000,glorot_uniform,0.001,0.9,True,70,30,0.0001,16.209847768147785
34,3.0306716759999595,0.10001518777161418,1.9309622049331665,0.04802414107270095,tanh,64,1000,glorot_uniform,0.001,0.9,True,70,30,0.0001,16.514834880828857
35,3.035867214202881,0.05349659018031419,2.448988437652588,0.02166724575670032,tanh,128,1000,glorot_uniform,0.001,0.9,True,130,30,0.001,11.495625416437784
36,3.0377710660298667,0.08584202935064139,2.874519427617391,0.05619067041112968,sigmoid,128,1000,glorot_uniform,0.01,0.4,True,70,30,0.0001,10.548210700352987
37,3.048967202504476,0.05862776026319339,2.3417888482411704,0.0396824443025402,tanh,128,1000,glorot_uniform,0.01,0.4,True,130,30,0.001,11.33416199684143
38,3.049078385035197,0.0868895277149331,2.8956841627756753,0.019178786441771706,sigmoid,128,1000,glorot_uniform,0.01,0.4,True,130,30,0.0001,10.820080916086832
39,3.0518492062886557,0.04193897824336388,2.702898899714152,0.0035244134575014947,tanh,128,1000,glorot_uniform,0.001,0.8,True,130,30,0.001,11.496629158655802
40,3.0546414057413735,0.030035339833900544,2.7905890941619873,0.05514268501388102,tanh,64,1000,glorot_uniform,0.001,0.4,True,70,30,0.0001,15.229071378707886
