rank_val_score,mean_val_score,std_val_score,mean_train_score,std_train_score,activation,batch_size,epochs,init_mode,learn_rate,momentum,nesterov,neurons_layer_1,neurons_layer_2,weight_decay,mean_fit_time
1,2.79458220799764,0.03471170137768749,2.217048486073812,0.03460735322037386,sigmoid,64,1000,glorot_uniform,0.01,0.8,True,130,30,1e-05,17.42440168062846
2,2.8136672178904214,0.0347515252490894,2.4458831946055093,0.04244629746645377,sigmoid,128,1000,glorot_uniform,0.01,0.8,True,130,30,1e-05,10.93531616528829
3,2.814590851465861,0.020436231176081926,2.3389227390289307,0.026214300208237888,sigmoid,128,1000,glorot_uniform,0.01,0.85,True,130,30,1e-05,10.961609840393066
4,2.8149799505869546,0.028321944890372895,2.2326927185058594,0.05161698201151572,sigmoid,128,1000,glorot_uniform,0.009,0.9,True,130,30,1e-05,11.27295962969462
5,2.814996321996053,0.04063187622918392,2.204568386077881,0.04968602611733918,sigmoid,128,1000,glorot_uniform,0.01,0.9,True,130,30,1e-05,11.117526610692343
6,2.819209178288778,0.046421051828810574,2.259380340576172,0.03742644451654267,sigmoid,64,1000,glorot_uniform,0.009,0.8,True,130,30,1e-05,16.19450322786967
7,2.821723540623983,0.031667434445919726,2.496736923853556,0.02397070148650444,sigmoid,128,1000,glorot_uniform,0.006,0.85,True,130,30,1e-05,11.675316174825033
8,2.8251996835072837,0.060514208136782544,2.121243953704834,0.05449560236749292,sigmoid,64,1000,glorot_uniform,0.009,0.85,True,130,30,1e-05,17.142863035202026
9,2.8270552158355713,0.02591029773913977,2.369527260462443,0.031211620106338638,sigmoid,128,1000,glorot_uniform,0.006,0.9,True,130,30,1e-05,10.88146448135376
10,2.831069310506185,0.040299754771864545,2.369394620259603,0.03988631770239157,sigmoid,128,1000,glorot_uniform,0.009,0.85,True,130,30,1e-05,11.293856779734293
11,2.8382955392201743,0.029409357269592044,2.3980117638905845,0.040953974009739734,sigmoid,64,1000,glorot_uniform,0.006,0.8,True,130,30,1e-05,19.77466607093811
12,2.8404261271158853,0.026237674980706227,2.507322629292806,0.025674236265885064,sigmoid,128,1000,glorot_uniform,0.009,0.8,True,130,30,9e-05,11.316841840744019
13,2.840592543284098,0.045518038867896536,2.317440668741862,0.035065527888710986,sigmoid,64,1000,glorot_uniform,0.009,0.8,True,130,30,9e-05,17.36191447575887
