rank_val_score,mean_val_score,std_val_score,mean_train_score,std_train_score,activation,batch_size,epochs,init_mode,learn_rate,momentum,nesterov,neurons_layer_1,neurons_layer_2,weight_decay,mean_fit_time
1,3.213296333948771,0.0263241301881791,2.5899664560953775,0.0930306977702506,relu,128,500,glorot_uniform,0.001,0.9,True,130,30,0.0001,5.48393980662028
2,3.214162985483805,0.04581621584129981,2.6294012864430747,0.061552919607502955,relu,128,500,glorot_uniform,0.001,0.9,True,130,20,0.0001,5.277964909871419
3,3.2294204235076904,0.053048956932154626,2.657365163167318,0.1091099182912805,relu,128,500,glorot_uniform,0.001,0.9,True,70,30,0.0001,5.116411368052165
4,3.2419731616973877,0.0766167713685897,2.754601240158081,0.058072903379452735,relu,128,500,glorot_uniform,0.001,0.9,True,50,30,0.0001,5.0624449253082275
5,3.2439544200897217,0.08789397436085694,2.6298348108927407,0.03100029095827987,relu,128,500,glorot_uniform,0.001,0.9,True,130,45,0.0001,5.643650372823079
6,3.2507243156433105,0.08311827616664971,2.6493070920308432,0.04997346858763408,relu,128,500,glorot_uniform,0.001,0.9,True,70,20,0.0001,5.075664122899373
7,3.2548185189565024,0.05452770711145841,2.6980744202931723,0.06538376351126801,relu,128,500,glorot_uniform,0.001,0.9,True,70,45,0.0001,5.247904618581136
8,3.270770708719889,0.0788964076775916,2.7628723780314126,0.004324980739863446,relu,128,500,glorot_uniform,0.001,0.9,True,50,45,0.0001,5.174853801727295
9,3.2828155358632407,0.07573613656973845,2.640610615412394,0.04414650995912876,relu,128,500,glorot_uniform,0.001,0.9,True,130,20,0.001,5.366775751113892
10,3.285530964533488,0.05025442134892362,2.8743342558542886,0.02446691642801026,relu,128,500,glorot_uniform,0.001,0.8,True,130,45,0.0001,5.768691698710124
11,3.2877601782480874,0.05637634398989557,2.758338212966919,0.05560355915025077,relu,128,500,glorot_uniform,0.001,0.9,True,50,45,0.001,5.205329656600952
12,3.290306329727173,0.03611554501590388,2.906438112258911,0.046837448123770616,relu,128,500,glorot_uniform,0.001,0.8,True,130,30,0.0001,5.440702597300212
13,3.2903464635213218,0.04865797155370802,2.825887441635132,0.05700255631472984,relu,256,500,glorot_uniform,0.001,0.9,True,130,45,0.0001,5.55648144086202
14,3.2961579163869223,0.018516912012301483,2.7966588338216147,0.06629761156169404,relu,128,500,glorot_uniform,0.001,0.9,True,50,30,0.001,5.242377042770386
15,3.2970425287882485,0.06556353579636838,2.769817272822062,0.03437647402524993,relu,128,500,glorot_uniform,0.001,0.9,True,70,30,0.001,5.108719348907471
16,3.300278981526693,0.08677911353792743,2.80793563524882,0.014647141624164004,relu,128,500,glorot_uniform,0.001,0.9,True,50,20,0.001,4.988889932632446
17,3.3044113318125405,0.058820178555115524,2.7313496271769204,0.019621174764551347,relu,128,500,glorot_uniform,0.001,0.9,True,50,20,0.0001,5.029824574788411
18,3.3059595425923667,0.07820678236194904,2.866551160812378,0.01780505789809128,relu,128,500,glorot_uniform,0.001,0.8,True,130,20,0.0001,5.320471286773682
19,3.3187803427378335,0.08527042987863767,2.849928935368856,0.010759495810780983,relu,256,500,glorot_uniform,0.001,0.9,True,130,20,0.0001,4.065606514612834
20,3.322882890701294,0.04923390736058474,2.940314213434855,0.0391054052569368,relu,128,500,glorot_uniform,0.001,0.8,True,70,30,0.0001,5.365601857503255
21,3.326070706049601,0.047891551439606314,2.927781343460083,0.030671302360091992,relu,256,500,glorot_uniform,0.001,0.9,True,70,30,0.0001,3.981944958368937
22,3.3291498025258384,0.08343619149973663,2.7239835262298584,0.0401363714347429,relu,128,500,glorot_uniform,0.001,0.9,True,130,45,0.001,5.603423277537028
23,3.3356374899546304,0.0794526825477767,2.642740488052368,0.23206448835599475,relu,256,500,glorot_uniform,0.01,0.9,True,50,45,0.001,3.921566883722941
24,3.337722142537435,0.05696151821438315,2.7732086181640625,0.04524457007066912,relu,128,500,glorot_uniform,0.001,0.9,True,70,45,0.001,5.291428248087565
25,3.3397026856740317,0.04216430113316588,2.949097235997518,0.03821313458891974,relu,256,500,glorot_uniform,0.001,0.9,True,50,20,0.0001,3.8151472409566245
26,3.3410975138346353,0.04155098774356484,2.9665635426839194,0.04320129859822731,relu,128,500,glorot_uniform,0.001,0.8,True,50,45,0.0001,5.228093067804973
27,3.3424262205759683,0.05441941911717379,2.7581971486409507,0.06452022389857508,relu,128,500,glorot_uniform,0.001,0.9,True,70,20,0.001,5.01652193069458
28,3.3433525562286377,0.1061600637076118,2.928842782974243,0.03258759680238901,relu,256,500,glorot_uniform,0.001,0.9,True,130,30,0.0001,4.084695498148601
29,3.344512383143107,0.0456315229411117,2.9198768933614097,0.03188265258973077,relu,256,500,glorot_uniform,0.001,0.9,True,70,20,0.0001,3.8739612897237143
30,3.348435640335083,0.047091230693976964,2.3730928103129068,0.0727407375738738,relu,256,500,glorot_uniform,0.01,0.9,True,50,45,0.0001,3.9934308528900146
31,3.3492282231648765,0.062327087599484646,2.9457751909891763,0.025857543704443906,relu,128,500,glorot_uniform,0.001,0.8,True,70,20,0.0001,5.429443915685018
32,3.3525288105010986,0.053652617812818826,2.9950594107309976,0.055198195873735194,relu,128,500,glorot_uniform,0.001,0.8,True,50,30,0.0001,5.088863770167033
33,3.3624303340911865,0.05676220320385788,2.938536802927653,0.025678004431578725,relu,256,500,glorot_uniform,0.001,0.9,True,50,30,0.0001,3.7354037761688232
34,3.363069931666056,0.06964229865579581,3.0107956727345786,0.0514441231664471,relu,128,500,glorot_uniform,0.001,0.8,True,70,20,0.001,5.5248057047526045
35,3.365295092264811,0.046661150379206165,3.02111021677653,0.03406129472078501,relu,128,500,glorot_uniform,0.001,0.8,True,50,20,0.0001,4.975555022557576
36,3.3655364513397217,0.020750955392489005,2.941234827041626,0.07197521243140402,relu,256,500,glorot_uniform,0.001,0.9,True,130,20,0.001,4.0963906447092695
37,3.3676140308380127,0.043139527173912416,2.9454288482666016,0.027096082294702416,relu,256,500,glorot_uniform,0.001,0.9,True,70,45,0.0001,4.147805054982503
38,3.3729731241861978,0.06479369239649925,2.7196804682413735,0.06450816213664702,relu,128,500,glorot_uniform,0.001,0.9,True,130,30,0.001,5.513765573501587
39,3.3733516534169516,0.049821714013995155,2.9926606814066568,0.0196508680839051,relu,128,500,glorot_uniform,0.001,0.8,True,70,45,0.0001,5.393478234608968
40,3.379136244455973,0.05617172780344162,2.966118256251017,0.041479021171536797,relu,256,500,glorot_uniform,0.001,0.9,True,50,45,0.0001,3.7983245054880777
41,3.3855194250742593,0.060022487057165834,3.027439832687378,0.02470109699474237,relu,128,500,glorot_uniform,0.001,0.8,True,70,30,0.001,5.429910659790039
42,3.3870147864023843,0.040971935003249776,3.0367486476898193,0.0516917705343448,relu,256,500,glorot_uniform,0.001,0.9,True,50,45,0.001,3.9354306856791177
43,3.3887622356414795,0.13474485213484527,2.640756527582804,0.20002145641747066,relu,256,500,glorot_uniform,0.01,0.9,True,50,20,0.001,3.6952757040659585
44,3.388993263244629,0.0726514997564829,2.966806491216024,0.040667413930911105,relu,256,500,glorot_uniform,0.001,0.9,True,70,30,0.001,3.9232123692830405
45,3.3939300378163657,0.05131547628159172,2.948815107345581,0.041159355933295026,relu,256,500,glorot_uniform,0.001,0.9,True,130,30,0.001,4.133562723795573
46,3.400071620941162,0.20882490811507132,2.5873756408691406,0.09377952140681163,relu,256,500,glorot_uniform,0.01,0.9,True,50,30,0.001,3.826373895009359
47,3.404183785120646,0.03316123371573937,3.00032377243042,0.06020695030074274,relu,128,500,glorot_uniform,0.001,0.8,True,130,45,0.001,5.632816712061564
48,3.4053306579589844,0.04052816573669313,3.0060141881306968,0.07276116885174878,relu,128,500,glorot_uniform,0.001,0.8,True,130,20,0.001,5.371158997217814
49,3.4062549273173013,0.015048884663153118,3.0155168374379477,0.06185478997085547,relu,256,500,glorot_uniform,0.001,0.9,True,50,30,0.001,3.688527504603068
50,3.407831907272339,0.031811999552792763,3.028360287348429,0.035065753629068844,relu,256,500,glorot_uniform,0.001,0.9,True,50,20,0.001,3.777379115422567
51,3.4085075855255127,0.17705862102319506,2.557326396306356,0.3383885093708852,relu,256,500,glorot_uniform,0.01,0.9,True,50,20,0.0001,3.7862075169881186
52,3.4110637505849204,0.09309174442150506,3.021015008290609,0.020638009392409364,relu,128,500,glorot_uniform,0.001,0.8,True,70,45,0.001,5.388661861419678
53,3.417804718017578,0.070774755701168,2.9914115269978843,0.04034156666666876,relu,128,500,glorot_uniform,0.001,0.8,True,130,30,0.001,5.511343955993652
54,3.420851230621338,0.03986703690388673,2.9795560042063394,0.03516625627590336,relu,256,500,glorot_uniform,0.001,0.9,True,70,20,0.001,3.707747459411621
55,3.4249539375305176,0.03790396617221457,3.099347194035848,0.03200170298239535,relu,128,500,glorot_uniform,0.001,0.8,True,50,20,0.001,4.972655693689982
56,3.4251370429992676,0.09586795686210453,2.5786214669545493,0.11161101020408096,relu,128,500,glorot_uniform,0.01,0.8,True,130,20,0.0001,5.521636168162028
57,3.430432160695394,0.10047171158034543,2.8318099975585938,0.09354874189322193,relu,128,500,glorot_uniform,0.01,0.9,True,50,45,0.01,5.269842704137166
58,3.435265382130941,0.016876634890518317,2.9798895517985025,0.06645706452635117,relu,256,500,glorot_uniform,0.001,0.9,True,130,45,0.001,5.204114596048991
59,3.4419658184051514,0.015208899493501755,3.092763980229696,0.02766750809764309,relu,128,500,glorot_uniform,0.001,0.8,True,50,45,0.001,5.15849765141805
60,3.443519035975138,0.022234164668395763,3.0049119790395102,0.05859683540737794,relu,256,500,glorot_uniform,0.001,0.9,True,70,45,0.001,4.073984305063884
61,3.4448302586873374,0.13883896634119103,2.6334532101949057,0.04190288124869649,relu,128,500,glorot_uniform,0.01,0.8,True,70,30,0.001,5.588520050048828
62,3.450339953104655,0.10066732042149103,3.0381529331207275,0.2599102215078951,relu,128,500,glorot_uniform,0.01,0.8,True,50,45,0.01,5.345270077387492
63,3.4621938864390054,0.08229243901133704,3.0825817584991455,0.017601175533590616,relu,128,500,glorot_uniform,0.001,0.8,True,50,30,0.001,5.205919106801351
64,3.4665544033050537,0.27791454300329926,2.3912742932637534,0.18870488293375737,relu,256,500,glorot_uniform,0.01,0.9,True,70,45,0.0001,4.058093945185344
65,3.471945842107137,0.15038644629565287,2.516030788421631,0.21230532888299583,relu,256,500,glorot_uniform,0.01,0.9,True,50,30,0.0001,3.868910551071167
66,3.474782705307007,0.12981033063085393,2.9192952315012612,0.21041088917399836,relu,256,500,glorot_uniform,0.01,0.9,True,50,30,0.01,3.7434025605519614
67,3.475595156351725,0.2459056339940579,2.508674701054891,0.12565345693138727,relu,256,500,glorot_uniform,0.01,0.9,True,70,30,0.0001,3.9138065179189048
68,3.484119176864624,0.07020942782543124,3.218665520350138,0.056345661578167665,relu,256,500,glorot_uniform,0.001,0.8,True,70,30,0.0001,4.016039292017619
69,3.4848364194234214,0.18504272690383852,3.0104827086130777,0.05887854625659796,relu,256,500,glorot_uniform,0.01,0.9,True,50,45,0.01,4.059289614359538
70,3.4897803465525308,0.08765010272033535,3.1552371184031167,0.02965600716670863,relu,256,500,glorot_uniform,0.001,0.8,True,130,30,0.0001,4.334919134775798
71,3.4974953333536782,0.06652969196401357,3.1118359565734863,0.025102386916223084,relu,128,500,glorot_uniform,0.01,0.8,True,70,20,0.01,5.110278924306233
72,3.4993868668874106,0.052376323742260804,2.987455447514852,0.04983092712454939,relu,256,500,glorot_uniform,0.01,0.9,True,130,30,0.01,4.370184580485026
73,3.4994611740112305,0.15198149453972457,2.5203720728556314,0.3351248824093007,relu,256,500,glorot_uniform,0.01,0.9,True,130,45,0.001,4.856071710586548
74,3.4996933142344155,0.017351910902800943,3.244946082433065,0.05364913460400514,relu,256,500,glorot_uniform,0.001,0.8,True,50,20,0.0001,3.801436185836792
75,3.502021312713623,0.11460683460264759,1.9309565623601277,0.05440106758485389,relu,128,500,glorot_uniform,0.01,0.9,True,50,30,0.0001,5.0566426912943525
76,3.503025849660238,0.020770571232262752,3.1865864594777427,0.05774430900851773,relu,256,500,glorot_uniform,0.001,0.8,True,130,45,0.0001,4.5768725872039795
77,3.5050463676452637,0.06837587373361506,2.072421391805013,0.09170596131542658,relu,128,500,glorot_uniform,0.01,0.9,True,50,20,0.0001,5.013891299565633
78,3.5090203285217285,0.3201078634355003,2.6864468256632485,0.3422900458271172,relu,128,500,glorot_uniform,0.01,0.8,True,70,45,0.0001,5.220478614171346
79,3.5118439197540283,0.09426872878343567,1.9141056934992473,0.11574873425940525,relu,128,500,glorot_uniform,0.01,0.9,True,50,45,0.0001,5.382008790969849
80,3.5144604047139487,0.17539660553657793,2.8726984659830728,0.34175023641291286,relu,128,500,glorot_uniform,0.01,0.9,True,70,45,0.01,5.5397623380025225
81,3.5149709383646646,0.0890202779773822,2.29615585009257,0.1550814825684457,relu,128,500,glorot_uniform,0.01,0.9,True,50,20,0.001,5.055166880289714
82,3.5201430320739746,0.3169688433623552,2.7527668476104736,0.2726600371813285,relu,256,500,glorot_uniform,0.01,0.9,True,70,20,0.001,3.7616074879964194
83,3.5211784839630127,0.029881413796370996,3.2291640440622964,0.04147009039252679,relu,256,500,glorot_uniform,0.001,0.8,True,130,30,0.001,4.319745143254598
84,3.521782398223877,0.007219211997261284,3.2501983642578125,0.08555894648489516,relu,256,500,glorot_uniform,0.001,0.8,True,50,30,0.0001,3.826906124750773
85,3.524403731028239,0.08574676847924517,3.033917188644409,0.19913410575002416,relu,256,500,glorot_uniform,0.01,0.9,True,130,45,0.01,5.100048144658406
86,3.525325059890747,0.13027447193090422,2.2501797676086426,0.2297909256467777,relu,128,500,glorot_uniform,0.01,0.9,True,50,45,0.001,5.101025342941284
87,3.5273965994517007,0.03265202316842246,3.241739590962728,0.053765321092924964,relu,256,500,glorot_uniform,0.001,0.8,True,130,20,0.0001,4.101662874221802
88,3.531711975733439,0.13471253902568397,2.793867508570353,0.11372039134034345,relu,128,500,glorot_uniform,0.01,0.8,True,70,45,0.001,5.317528247833252
89,3.5360372066497803,0.1148884151730632,2.9805803298950195,0.05029584246752351,relu,128,500,glorot_uniform,0.01,0.8,True,130,30,0.01,6.18095342318217
90,3.53745166460673,0.12016019886457552,3.1227547327677407,0.18948765313301202,relu,128,500,glorot_uniform,0.01,0.8,True,50,30,0.01,4.934966961542766
91,3.538948138554891,0.025594614793614526,3.1801212628682456,0.08631727290179929,relu,128,500,glorot_uniform,0.01,0.8,True,50,20,0.01,4.976244846979777
92,3.538949807484945,0.19159909639817901,3.0515189170837402,0.20846326089255168,relu,256,500,glorot_uniform,0.01,0.9,True,70,20,0.01,3.817396958669027
93,3.5421272118886313,0.1305161663941088,2.3971564769744873,0.2825725398855631,relu,256,500,glorot_uniform,0.01,0.9,True,130,30,0.0001,4.478629986445109
94,3.543301979700724,0.14604191979204112,2.0301881631215415,0.054438387198976534,relu,128,500,glorot_uniform,0.01,0.9,True,70,45,0.001,5.604828675587972
95,3.548911730448405,0.15367922540848533,2.96537176767985,0.071261214020405,relu,128,500,glorot_uniform,0.01,0.9,True,70,30,0.01,5.174084345499675
96,3.551241715749105,0.2148628635699703,2.5222015380859375,0.17564137259961612,relu,256,500,glorot_uniform,0.01,0.9,True,130,20,0.001,4.191438674926758
97,3.551768700281779,0.04973322452748334,2.74069881439209,0.21560482082421026,relu,256,500,glorot_uniform,0.01,0.9,True,70,45,0.001,3.9414780934651694
98,3.55369242032369,0.045035793052520874,3.1112233797709146,0.1207967054249488,relu,256,500,glorot_uniform,0.01,0.9,True,70,45,0.01,4.014446338017781
99,3.5594871044158936,0.2967332261034897,3.0514142513275146,0.153275437413188,relu,128,500,glorot_uniform,0.01,0.8,True,130,45,0.01,6.0169525146484375
100,3.5639536380767822,0.23783660582019733,3.064913272857666,0.13060202002628396,relu,256,500,glorot_uniform,0.01,0.9,True,50,20,0.01,3.716189702351888
101,3.5648934046427407,0.027357396643368375,3.272980054219564,0.03107634531425742,relu,256,500,glorot_uniform,0.001,0.8,True,50,20,0.001,3.7511881987253823
102,3.568833669026693,0.08234646404156856,2.603885014851888,0.2385280405042399,relu,256,500,glorot_uniform,0.01,0.9,True,70,20,0.0001,3.7916500568389893
103,3.5693713823954263,0.08741318872708234,3.1465041637420654,0.0592843524896948,relu,128,500,glorot_uniform,0.001,0.9,True,50,20,0.01,5.02826452255249
104,3.574361244837443,0.08785244910591557,2.1184728940327964,0.01782053141834642,relu,128,500,glorot_uniform,0.01,0.9,True,70,45,0.0001,5.7192699909210205
105,3.5758246580759683,0.0443785933613348,3.2739113171895347,0.14167295942510244,relu,256,500,glorot_uniform,0.001,0.8,True,70,20,0.0001,4.379479964574178
106,3.5785260995229087,0.05960507847956648,3.340576489766439,0.07118942243461024,relu,256,500,glorot_uniform,0.001,0.8,True,50,30,0.001,3.822912613550822
107,3.579585870107015,0.18094218124966102,2.7823634147644043,0.10428636240012239,relu,128,500,glorot_uniform,0.01,0.9,True,130,30,0.01,4.673897822697957
108,3.5820717016855874,0.04491473276783428,3.324498256047567,0.069351809470592,relu,256,500,glorot_uniform,0.001,0.8,True,70,30,0.001,4.254161198933919
109,3.584322134653727,0.05803767022777345,3.2733813921610513,0.05970358998521266,relu,256,500,glorot_uniform,0.001,0.8,True,130,20,0.001,4.18641980489095
110,3.5845259030659995,0.05353422748850345,3.2806801001230874,0.018171930372954174,relu,256,500,glorot_uniform,0.001,0.8,True,70,45,0.0001,4.018735249837239
111,3.5855298042297363,0.1313771579900306,2.6748929818471274,0.06657143298273872,relu,128,500,glorot_uniform,0.01,0.8,True,130,45,0.001,5.718962748845418
112,3.597777525583903,0.15026444641543818,2.5179991722106934,0.2761187119404172,relu,256,500,glorot_uniform,0.01,0.9,True,130,45,0.0001,4.884853363037109
